IdCaso,Id,COD_DANE_MUN,DIAH,MESH,ANNOH,DEPTO_CASO,MUNINICIO_CASO,Sexo,Etnia,OcupacionVictima,CalidadVictima,TipoPoblacionVulnerable,MilitantePolitico,Grupo,DESCRIPCION_GRUPO,Estado
185739,226363,47798,5,6,1992,Magdalena,Tenerife,H,,Trabajador de finca,Civil,,,,,Publicado
185739,226364,47798,5,6,1992,Magdalena,Tenerife,S,,Sin información,Civil,,,,,Publicado
204172,226365,52696,1,1,2004,Nariño,Santa bárbara,M,,Sin información,Civil,,,,,Publicado
204172,226366,52696,1,1,2004,Nariño,Santa bárbara,H,,Sin información,Civil,,,,,Publicado
186356,226373,54800,28,6,2007,Norte de santander,Teorama,H,,Conductor/motorista,Civil,,,,,Publicado
203308,226374,13655,11,10,2003,Bolívar,San jacinto del cauca,H,,Raspachín,Civil,,,,,Publicado
203308,226375,13655,11,10,2003,Bolívar,San jacinto del cauca,S,,Raspachín,Civil,,,,,Publicado
186245,226377,86757,28,4,2003,Putumayo,San miguel,M,,Sin información,Civil,,,,,Publicado
186245,226378,86757,28,4,2003,Putumayo,San miguel,M,,Sin información,Civil,,,,,Publicado
204680,226379,70823,26,3,2004,Sucre,Tolú viejo,M,,Sin información,Civil,,,,,Publicado
204680,226380,70823,26,3,2004,Sucre,Tolú viejo,H,,Sin información,Civil,,,,,Publicado
186305,226381,25307,31,12,2004,Cundinamarca,Girardot,H,,Sin información,Civil,,,,,Publicado
186307,226382,23570,4,1,2005,Córdoba,Pueblo nuevo,H,,Sin información,Civil,,,,,Publicado
186330,226383,20750,6,3,2006,Cesar,San diego,H,,Trabajador de finca,Civil,,,,,Publicado
186175,226384,5667,20,2,2002,Antioquia,San rafael,M,,Sin información,Civil,,,,,Publicado
186175,226385,5667,20,2,2002,Antioquia,San rafael,M,,Personal de salud,Civil,,,,,Publicado
186175,226386,5667,20,2,2002,Antioquia,San rafael,M,,Sin información,Civil,,,,,Publicado
